Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Video Views,Paid Conversions,Paid Leads,Paid Qualified Leads
Translational Health Science and Technology Institute (THSTI),https://www.linkedin.com/company/translational-health-science-and-technology-institute-thsti,Very High,52,66,51,,,6,,,
Fortis Memorial Research Institute - India,https://www.linkedin.com/company/fortis-memorial-research-institute---india,Very High,8,19,50,,,12,,,
National Institute for Locomotor Disabilities,https://www.linkedin.com/company/national-institute-for-locomotor-disabilities,High,7,8,49,,,12,,,
Ramaiah Medical College,https://www.linkedin.com/company/m.s.-ramaiah-medical-college,Very High,38,81,49,,,,,,
Shri Dharmasthala Manjunatheshwara University,https://www.linkedin.com/company/sdmuniversity,Very High,43,57,48,,,14,,,
"Karnataka University, Dharwad",https://www.linkedin.com/company/karnataka-university-dharwad,High,7,8,48,,,4,,,
Sharda University Agra,https://www.linkedin.com/company/shardauniversityagra,Very High,18,30,47,,,,,,
Rajiv Gandhi Cancer Institute and Research Centre,https://www.linkedin.com/company/rajiv-gandhi-cancer-institute-research-centre,High,15,17,47,,,,,,
NMKRV College,https://www.linkedin.com/company/nmkrvcollege,High,13,13,46,,,4,,,
"Faculty of Management Studies and Research, Aligarh Muslim University",https://www.linkedin.com/company/dbafmsramu,Very High,28,37,46,,,7,,,
"Sri Aurobindo Institute of Medical Science, Indore",https://www.linkedin.com/company/sri-auroboindo-institute-of-medical-science-indore,Very High,11,20,45,,,4,,,
DR. D. Y. Patil Vidyapeeth (DPU),https://www.linkedin.com/company/dr-d-y-patil-medical-college---india,Very High,41,72,44,,,3,,,
Armed Forces Medical College,https://www.linkedin.com/company/armed-forces-medical-college,Very High,29,29,43,,,6,,,
"Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER), Puducherry",https://www.linkedin.com/company/college-of-nursing-sir-j-j-group-of-hospitals-byculla-mumbai-08-bsc-nursing-,Very High,21,22,43,,,13,,,
Rajendra Institute of Medical Sciences,https://www.linkedin.com/company/rajendra-institute-of-medical-sciences,Very High,140,181,42,,,11,,,
"Khaja Bandanawaz University (KBNU), Kalaburagi",https://www.linkedin.com/company/k-b-n-college-of-engineering-gulbarga,Very High,14,22,42,,,10,,,
CliniLaunch Research Institute,https://www.linkedin.com/company/clini-launch-research-institute,Very High,61,61,41,,,,,,
ICMR-National Institute of Nutrition,https://www.linkedin.com/company/icmr-national-institute-of-nutrition,Very High,57,80,41,,,10,,,
CSIR−Central Food Technological Research Institute (CFTRI),https://www.linkedin.com/company/csir-cftri,High,7,7,40,,,,,,
Inspire Institute of Sport,https://www.linkedin.com/company/inspire-institute-of-sport,Very High,18,18,40,,,4,,,
St Johns Research Institute,https://www.linkedin.com/company/sjri,Very High,24,28,40,,,8,,,
Nottingham Trent University,https://www.linkedin.com/company/nottingham-trent-university,High,7,7,40,,,8,,,
"Sri Devaraj Urs Academy of Higher Education and Research, Karnataka",https://www.linkedin.com/company/sduaher-official,High,6,7,38,,,5,,,
The George Institute for Global Health,https://www.linkedin.com/company/george-institute,Very High,52,94,38,,,,,,
Manipal School of Life Sciences,https://www.linkedin.com/company/manipal-school-of-life-sciences,Very High,16,17,36,,,3,,,
